path,year,hatchery,length,mass,date,flow
0,2009,1,174,60,119,920
0,2005,1,189,79,124,1518
1,2010,1,177,61,115,394
1,2009,1,186,71,122,793
0,2010,1,187,71,113,430
0,2010,1,190,75,113,430
0,2006,1,183,70,109,725
0,2006,1,195,85,107,762
0,2009,1,172,56,119,920
0,2009,1,194,61,120,833
0,2011,1,184,64,118,1226
0,2010,1,184,69,114,408
0,2012,1,190,69,117,1065
0,2012,1,202,80,117,1065
0,2006,1,170,54,108,765
0,2010,1,192,76,122,328
0,2006,1,216,116,108,765
1,2010,1,188,72,113,430
0,2010,1,195,76,113,430
0,2010,1,175,54,120,351
0,2011,1,190,70,119,1337
0,2011,1,186,67,117,1102
0,2011,1,170,53,120,1495
0,2011,1,204,91,118,1226
0,2006,1,203,93,108,765
0,2010,1,173,54,114,408
0,2006,1,211,102,107,762
0,2009,1,164,50,122,793
0,2009,1,192,72,122,793
0,2010,1,184,67,113,430
0,2006,1,195,79,108,765
0,2010,1,195,88,113,430
0,2009,1,173,50,119,920
0,2009,1,163,50,119,920
1,2005,1,187,68,109,773
0,2006,1,195,85,108,765
0,2006,1,189,70,108,765
0,2011,1,187,72,120,1495
0,2010,1,185,71,114,408
0,2010,1,205,89,119,351
0,2009,1,168,50,122,793
0,2009,1,175,53,123,782
0,2009,1,187,70,123,782
0,2009,1,194,81,120,833
0,2009,1,181,62,119,920
0,2010,1,176,55,120,351
1,2006,1,178,60,107,762
0,2010,1,185,65,117,365
0,2010,1,182,73,119,351
0,2010,1,204,95,117,365
1,2009,1,204,84,119,920
1,2010,1,176,53,113,430
0,2009,1,178,64,124,725
0,2011,1,192,77,117,1102
0,2010,1,188,72,122,328
0,2006,1,183,64,108,765
1,2009,1,196,76,119,920
0,2009,1,168,50,124,725
0,2009,1,181,63,120,833
0,2009,1,182,65,124,725
0,2010,1,187,65,113,430
0,2009,1,195,73,124,725
1,2011,1,193,80,117,1102
0,2011,1,200,86,117,1102
0,2010,1,205,86,118,345
0,2010,1,197,87,113,430
0,2010,1,201,89,118,345
0,2010,1,197,90,118,345
0,2010,1,202,92,113,430
0,2010,1,217,101,118,345
1,2009,1,178,56,122,793
1,2009,1,178,62,122,793
1,2009,1,180,57,124,725
0,2010,1,183,70,113,430
0,2010,1,190,78,113,430
0,2006,1,202,98,107,762
0,2010,1,185,69,113,430
0,2009,1,177,62,123,782
0,2010,1,190,79,114,408
0,2006,1,191,77,108,765
0,2009,1,184,65,119,920
0,2009,1,182,67,122,793
0,2011,1,184,65,121,1453
