year,region,country,sex,number
2001,Americas,Jamaica,Female,2.7
2001,Americas,Honduras,Female,11.9
2001,Americas,Nicaragua,Female,7.1
2002,Americas,Guatemala,Female,17.5
2002,Americas,Uruguay,Female,4.9
2002,Americas,Jamaica,Female,2.6
2002,Americas,Brazil,Female,3.1
2002,Americas,Dominican Republic,Female,3.9
2002,Americas,El Salvador,Female,5.3
2003,Americas,Bolivia (Plurinational State of),Female,5.7
2003,Americas,United States of America,Female,0.9
2003,Americas,Nicaragua,Female,3.3
2003,Americas,Uruguay,Female,4.9
2004,Americas,Argentina,Female,2.2
2004,Americas,Colombia,Female,4.7
2004,Americas,Jamaica,Female,2.4
2004,Americas,Ecuador,Female,6
2004,Americas,Uruguay,Female,5.3
2005,Americas,Haiti,Female,17.4
2005,Americas,Honduras,Female,8.3
2005,Americas,Peru,Female,4.8
2006,Americas,Suriname,Female,7
2006,Americas,Nicaragua,Female,5.9
2006,Americas,Belize,Female,5.7
2006,Americas,Guyana,Female,10
2006,Americas,Brazil,Female,2.1
2006,Americas,Jamaica,Female,5.1
2006,Americas,Mexico,Female,2.6
2007,Americas,Jamaica,Female,1.7
2007,Americas,Uruguay,Female,3.2
2007,Americas,Peru,Female,4.5
2007,Americas,United States of America,Female,0.7
2007,Americas,Dominican Republic,Female,3.7
2008,Americas,Bolivia (Plurinational State of),Female,4
2008,Americas,Guatemala,Female,12.1
2008,Americas,Panama,Female,5.2
2008,Americas,El Salvador,Female,6.7
2008,Americas,Chile,Female,0.5
2008,Americas,Jamaica,Female,0.9
2008,Americas,Costa Rica,Female,1.8
2009,Americas,Guyana,Female,9.4
2009,Americas,Peru,Female,3.7
2009,Americas,Colombia,Female,3.3
2010,Americas,Suriname,Female,5.4
2010,Americas,Peru,Female,3.9
2010,Americas,Jamaica,Female,2.6
2011,Americas,Peru,Female,4.3
2011,Americas,Belize,Female,6.6
2011,Americas,United States of America,Female,0.4
2011,Americas,Uruguay,Female,4.2
2011,Americas,Honduras,Female,6.5
2011,Americas,Mexico,Female,2.8
2011,Americas,Paraguay,Female,2.3
2012,Americas,Barbados,Female,4.7
2012,Americas,Haiti,Female,10.7
2012,Americas,Jamaica,Female,2.1
2012,Americas,Ecuador,Female,5.6
2012,Americas,Peru,Female,3.2
2013,Americas,Chile,Female,0.4
2013,Americas,Dominican Republic,Female,4.1
2014,Americas,Chile,Female,0.4
1973,Eastern Mediterranean,Tunisia,Female,19.1
1987,Eastern Mediterranean,Morocco,Female,13
1988,Eastern Mediterranean,Tunisia,Female,7.7
1988,Eastern Mediterranean,Egypt,Female,11.6
1990,Eastern Mediterranean,Jordan,Female,4.4
1990,Eastern Mediterranean,Pakistan,Female,37.6
1990,Eastern Mediterranean,Pakistan,Female,36.5
1991,Eastern Mediterranean,Yemen,Female,27.9
1991,Eastern Mediterranean,Egypt,Female,9
1992,Eastern Mediterranean,Egypt,Female,7.9
1992,Eastern Mediterranean,Sudan,Female,31.9
1992,Eastern Mediterranean,Morocco,Female,7.7
1993,Eastern Mediterranean,Syrian Arab Republic,Female,10.4
1994,Eastern Mediterranean,Oman,Female,6
1994,Eastern Mediterranean,Tunisia,Female,8.3
1995,Eastern Mediterranean,Libya,Female,3.8
1995,Eastern Mediterranean,Egypt,Female,9.8
1996,Eastern Mediterranean,Lebanon,Female,3.3
1996,Eastern Mediterranean,Morocco,Female,7.2
1997,Eastern Mediterranean,Jordan,Female,3.8
1997,Eastern Mediterranean,Yemen,Female,45.8
1999,Eastern Mediterranean,Oman,Female,10.9
2000,Eastern Mediterranean,Iraq,Female,11.9
2000,Eastern Mediterranean,Sudan,Female,36.7
2000,Eastern Mediterranean,Egypt,Female,3.4
2001,Eastern Mediterranean,Pakistan,Female,31
2001,Eastern Mediterranean,Kuwait,Female,1.9
2001,Eastern Mediterranean,Syrian Arab Republic,Female,9.4
2002,Eastern Mediterranean,Djibouti,Female,23
2002,Eastern Mediterranean,Jordan,Female,3.2
2002,Eastern Mediterranean,Kuwait,Female,1.5
2003,Eastern Mediterranean,Egypt,Female,7
2003,Eastern Mediterranean,Kuwait,Female,1.9
2003,Eastern Mediterranean,Yemen,Female,41.8
2003,Eastern Mediterranean,Morocco,Female,9.2
2004,Eastern Mediterranean,Saudi Arabia,Female,4.5
2004,Eastern Mediterranean,Kuwait,Female,2.7
2004,Eastern Mediterranean,Lebanon,Female,2.8
2004,Eastern Mediterranean,Afghanistan,Female,33
2005,Eastern Mediterranean,Kuwait,Female,2.4
2005,Eastern Mediterranean,Egypt,Female,4.2
2006,Eastern Mediterranean,Sudan,Female,30
2006,Eastern Mediterranean,Djibouti,Female,26.7
2006,Eastern Mediterranean,Syrian Arab Republic,Female,8.3
2006,Eastern Mediterranean,Iraq,Female,6.6
2006,Eastern Mediterranean,Tunisia,Female,2.9
2006,Eastern Mediterranean,Kuwait,Female,3.4
2006,Eastern Mediterranean,Somalia,Female,31.3
2006,Eastern Mediterranean,Sudan,Female,25.9
2007,Eastern Mediterranean,Kuwait,Female,2.7
2007,Eastern Mediterranean,Libya,Female,4.8
2008,Eastern Mediterranean,Kuwait,Female,1.8
2008,Eastern Mediterranean,Egypt,Female,5.4
2009,Eastern Mediterranean,Somalia,Female,21.3
2009,Eastern Mediterranean,Kuwait,Female,1.5
2009,Eastern Mediterranean,Oman,Female,8.3
2009,Eastern Mediterranean,Jordan,Female,2.1
2009,Eastern Mediterranean,Syrian Arab Republic,Female,8.7
2010,Eastern Mediterranean,Kuwait,Female,1.5
2010,Eastern Mediterranean,Morocco,Female,3.1
2011,Eastern Mediterranean,Iraq,Female,7.4
2011,Eastern Mediterranean,Pakistan,Female,30.4
2011,Eastern Mediterranean,Tunisia,Female,1.4
2011,Eastern Mediterranean,Kuwait,Female,1.8
2011,Eastern Mediterranean,Yemen,Female,33.7
2012,Eastern Mediterranean,Pakistan,Female,29.1
2012,Eastern Mediterranean,Djibouti,Female,28.5
2012,Eastern Mediterranean,Jordan,Female,2.6
2012,Eastern Mediterranean,Kuwait,Female,2.3
2013,Eastern Mediterranean,Kuwait,Female,3
2014,Eastern Mediterranean,Kuwait,Female,2.6
