date,site,Length (mm),Weight (gm),Sex,Stage,Count
4/18/2013,Shadow Brook,432,,Male,Ripe,1
4/12/2017,Hayden Creek,432,,Male,Ripe,1
4/18/2018,Shadow Brook,432,,Male,Ripe,1
4/16/2013,Hayden Creek,433,,Male,Ripe,1
4/18/2013,Shadow Brook,433,,Male,Ripe,1
4/10/2017,Hayden Creek,433,,Male,Ripe,1
4/23/2018,Shadow Brook,433,706,Male,Ripe,1
4/12/2009,Shadow Brook,434,,Male,Ripe,1
4/16/2013,Shadow Brook,434,,Male,Ripe,1
4/16/2013,Shadow Brook,434,,Male,Ripe,1
4/17/2013,Hayden Creek,434,,Male,Ripe,1
4/17/2013,Shadow Brook,434,,Male,Ripe,1
4/18/2013,Shadow Brook,434,,Male,Ripe,1
4/18/2013,Shadow Brook,434,,Male,Ripe,1
4/18/2013,Shadow Brook,434,,Male,Ripe,1
4/18/2013,Shadow Brook,434,,Male,Ripe,1
4/15/2013,Shadow Brook,435,,Male,Ripe,1
4/17/2013,Hayden Creek,435,,Male,Ripe,1
4/18/2013,Shadow Brook,435,,Male,Ripe,1
4/10/2017,Shadow Brook,435,,Male,Ripe,1
4/5/2009,Hayden Creek,436,,Female,Ripe,1
4/17/2013,Hayden Creek,436,,Male,Ripe,1
4/18/2013,Shadow Brook,436,,Male,Ripe,1
4/17/2017,Shadow Brook,436,,Male,Ripe,1
4/24/2018,Shadow Brook,436,731,Male,Ripe,1
4/17/2019,Shadow Brook,436,,Male,Ripe,1
4/7/2009,Hayden Creek,437,765,Male,Ripe,1
4/18/2013,Shadow Brook,437,,Male,Ripe,1
4/18/2013,Shadow Brook,437,,Male,Hard,1
4/13/2017,Cripple Creek,437,,Male,Ripe,1
4/5/2009,Hayden Creek,438,,Male,Ripe ,1
4/17/2013,Shadow Brook,438,,Male,Ripe,1
4/10/2017,Shadow Brook,438,,Male,Ripe,1
4/13/2017,Cripple Creek,438,,Female,Hard,1
4/7/2009,Hayden Creek,439,1049,Male,Ripe,1
4/16/2009,Hayden Creek,439,,Male,Ripe,1
4/15/2013,Hayden Creek,439,,Male,Ripe,1
4/16/2013,Hayden Creek,439,,Male,Ripe,1
4/18/2013,Shadow Brook,439,,Male,Ripe,1
4/21/2013,Shadow Brook,439,,Male,Ripe,1
4/13/2019,Shadow Brook,439,,Male,Ripe,1
4/12/2009,Shadow Brook,440,,Male,Ripe,1
4/14/2009,Hayden Creek,440,,Male,Ripe,1
4/22/2013,Shadow Brook,440,,Male,Ripe,1
4/16/2013,Hayden Creek,441,,Male,Ripe,1
4/17/2013,Shadow Brook,441,,Male,Ripe,1
4/18/2013,Shadow Brook,441,,Male,Ripe,1
4/12/2017,Shadow Brook,441,,Male,Ripe,1
4/18/2009,Shadow Brook,442,,Male,Ripe,1
4/15/2013,Shadow Brook,442,,Male,Hard,1
4/15/2013,Shadow Brook,442,,Male,Hard,1
4/17/2013,Shadow Brook,442,,Male,Ripe,1
4/18/2013,Shadow Brook,442,,Male,Ripe,1
4/13/2017,Cripple Creek,442,,Male,Ripe,1
4/24/2018,Shadow Brook,442,1012,Male,Ripe,1
4/13/2019,Shadow Brook,442,,Male,Ripe,1
4/16/2009,Cripple Creek,443,,Male,Ripe,1
4/15/2013,Shadow Brook,443,,Male,Ripe,1
4/16/2013,Hayden Creek,443,,Male,Ripe,1
4/17/2013,Shadow Brook,443,,Male,Ripe,1
4/13/2017,Cripple Creek,443,,Male,Ripe,1
4/7/2009,Hayden Creek,444,964,Male,Ripe,1
4/15/2013,Shadow Brook,444,,Male,Ripe,1
4/17/2013,Shadow Brook,444,,Male,Ripe,1
4/18/2013,Shadow Brook,444,,Male,Ripe,1
4/18/2013,Shadow Brook,444,,Male,Ripe,1
4/10/2017,Hayden Creek,444,,Male,Ripe,1
4/10/2017,Shadow Brook,444,,Male,Ripe,1
4/14/2017,Shadow Brook,444,,Male,Ripe,1
4/20/2017,Shadow Brook,444,,Female,Ripe,1
4/15/2013,Shadow Brook,445,,Male,Ripe,1
4/15/2013,Shadow Brook,445,,Male,Ripe,1
4/17/2013,Shadow Brook,445,,Female,Spent,1
4/18/2013,Shadow Brook,445,,Male,Ripe,1
4/18/2013,Shadow Brook,445,,Male,Ripe,1
4/23/2018,Hayden Creek,445,,Male,Ripe,1
4/16/2013,Hayden Creek,446,,Male,Ripe,1
4/16/2013,Hayden Creek,446,,Male,Ripe,1
4/18/2013,Shadow Brook,446,,Female,Ripe,1
4/10/2017,Shadow Brook,446,,Male,Ripe,1
4/10/2017,Shadow Brook,446,,Male,Ripe,1
4/12/2009,Shadow Brook,447,,Male,Hard,1
4/12/2009,Shadow Brook,447,,Female,Ripe,1
4/17/2009,Cripple Creek,447,,Male,Ripe,1
4/17/2009,Shadow Brook,447,,Male,Ripe,1
4/18/2009,Shadow Brook,447,,Male,Ripe,1
4/18/2009,Shadow Brook,447,,Male,Ripe,1
4/15/2013,Shadow Brook,447,,Male,Ripe,1
4/15/2013,Shadow Brook,447,,Male,Ripe,1
4/17/2013,Shadow Brook,447,,Male,Ripe,1
4/12/2009,Shadow Brook,448,,Female,Hard,1
4/15/2013,Shadow Brook,448,,Male,Ripe,1
4/16/2013,Hayden Creek,448,,Male,Ripe,1
4/18/2013,Shadow Brook,448,,Female,Spent,1
4/10/2017,Shadow Brook,448,,Male,Ripe,1
4/11/2017,Shadow Brook,448,,Male,Ripe,1
4/22/2019,Cripple Creek,448,,Male,Ripe,1
4/9/2009,Hayden Creek,449,992,Male,Ripe,1
4/16/2009,Cripple Creek,449,,Male,Ripe,1
4/16/2009,Cripple Creek,449,,Male,Ripe,1
4/16/2009,Cripple Creek,449,,Male,Ripe,1
4/16/2009,Shadow Brook,449,,Male,Ripe ,1
4/16/2009,Shadow Brook,449,,Male,Ripe,1
4/16/2013,Hayden Creek,449,,Male,Ripe,1
4/17/2013,Hayden Creek,449,,Male,Ripe,1
4/17/2013,Shadow Brook,449,,Male,Ripe,1
4/10/2017,Shadow Brook,449,,Male,Ripe,1
4/10/2017,Shadow Brook,449,,Male,Ripe,1
4/13/2017,Cripple Creek,449,,Male,Ripe,1
4/5/2009,Cripple Creek,450,,Male,Ripe,1
4/7/2009,Hayden Creek,450,,Male,Ripe,1
4/12/2009,Hayden Creek,450,,Male,Ripe,1
4/16/2009,Cripple Creek,450,,Male,Ripe,1
4/17/2009,Cripple Creek,450,,Female,Ripe,1
4/17/2009,Shadow Brook,450,,Male,Ripe,1
4/16/2013,Hayden Creek,450,,Male,Ripe,1
4/17/2013,Shadow Brook,450,,Male,Ripe,1
